"About &amp; Contact", A propos de L’Epicurissimo
"About Us",A propos de L’Epicurissimo
"By clicking Sign Up, you agree to our",En cliquant sur S'inscrire, vous acceptez nos
Corporate,Entreprise
Connoisseur,Connaisseur
"Corporate Member",Entreprise
"Connoisseur Member",Connaisseur
Professional,Professionnel
"Professional Member",Professionnel
Home,Index
"Epicurissimo is a private network and online publication, a trusted place for professionals and connoisseurs of gastronomy and fine drinks to meet, connect, stay informed, showcase their work, find experts, share ideas, ask questions, find jobs and make business.",Epicurissimo est un réseau privé reliant tous les acteurs du monde de la gastronomie et des boissons de qualité, un lieu de confiance pour les professionnels et les amateurs de se rencontrer, relier, rester informés, présenter leur travail, trouver des experts, partager des idées, poser des questions, trouver un emploi et faire des affaires.
"Individual Member",Individuel
Send,Envoyer
"Sign Up",Envoyer	
"Sign Up Now",L’inscription
"Sign Up as",L’inscription
"Terms & Conditions",Terms & Conditions
"Terms &amp; Conditions",Terms &amp; Conditions
Back,Arrière
"Share Inspire Connect Inform Enjoy",Share Inspire Connect Inform Enjoy
"You work in relevant domains.",
"Show Your Works, Get Connected",Show Your Works, Get Connected
"Privacy Policy",Politique De Confidentialité
Contact,Contact
"Contact Us",Contact
"your email address",votre adresse e-mail
"type your message here",Tapez votre message ici
"Your City",votre ville
Language,langue
Previous,précédent
Next,Suivant
Name,Name
Last Name,NOM
First Name,PRÉNOM
Gender,
Male,
Female,
Other,
Birthday,DATE DE NAISSANCE
Country,PAYS
Contact Information,
Email,EMAIL
Phone,TÉL
Address,ADRESSE
Hobbies,LOISIRS
"Few words about yourself",QUELQUES MOTS SUR VOUS
Education,ÉDUCATION
School,COLLÈGE
Degree,DEGRÉ
Industry,INDUSTRIE
"Company Name",NOM DE L'ENTREPRISE
"email address",EMAIL
"phone no.",TÉL
"Central Interests",INTÉRÊTS
"By clicking Sign Up, you agree to our Terms & Conditions.",JE RECONNAIS ÊTRE CAPABLE DE M'ENGAGER. J'AI LU ETJ’ACCEPTE LES PRÉSENTES CONDITIONS ET LA CHARTE
"Your Benefits",VOS AVANTAGES